Assemblies	final.contigs
Alcanivorax_jadensis_T9	0.007
Aquimarina_sp._22II-S11-z7	0.022
Flavobacteriales_bacterium_ALC-1	0.020
Formosa_algae	0.025
Geobacter_pickeringii	0.004
Geopsychrobacter_electrodiphilus_DSM_16401	-
Idiomarina_indica	0.024
Ilumatobacter_coccineus_YM16-304	0.018
Ilumatobacter_fluminis	0.032
Kitasatospora_mediocidica_KCTC_9733	0.002
Luminiphilus_syltensis_NOR5-1B	0.077
Magnetococcus_marinus	0.002
Marivirga_tractuosa	0.003
Nitrospina_sp._SCGC_AAA288-L16	0.024
Owenweeksia_hongkongensis_DSM_17368	0.010
Parcubacteria_bacterium_SCGC_AAA011-N16	-
Pseudomonas_rhizosphaerae	-
Psychrobacter_sp._PRwf-1	0.007
Puniceicoccus_vermicola	-
Shewanella_amazonensis_SB2B	0.004
Solibacillus_silvestris_StLB046	-
Sporosarcina_sp._EUR3_2.2.2	-
Sulfitobacter_sp._NAS-14.1	0.047
Syntrophus_aciditrophicus	0.008
gamma_proteobacterium_BW-2	0.008
